"","Date","value","station","sensor","depth"
"1",2023-09-01,6.8,"SSMH","SSMH-SE02",7
"2",2023-09-01,3.5,"SSMH","SSMH-SE02",8
"3",2023-09-01,2.1,"SSMH","SSMH-SE02",9
"4",2023-09-01,0.8,"SSMH","SSMH-SE02",10
"5",2023-09-01,0.1,"SSMH","SSMH-SE02",11
"6",2023-09-01,-0.5,"SSMH","SSMH-SE02",12
"7",2023-09-01,-0.6,"SSMH","SSMH-SE02",13
"8",2023-09-01,-0.6,"SSMH","SSMH-SE02",14
"9",2023-09-01,-1.2,"SSMH","SSMH-SE02",15
"10",2023-09-01,-1.2,"SSMH","SSMH-SE02",16
"11",2023-09-01,-1.6,"SSMH","SSMH-SE02",17
"12",2023-09-01,7.5,"SSMH","SSMH-SB",7
"13",2023-09-01,6,"SSMH","SSMH-SB",8
"14",2023-09-01,4.5,"SSMH","SSMH-SB",9
"15",2023-09-01,4,"SSMH","SSMH-SB",10
"16",2023-09-01,4,"SSMH","SSMH-SB",11
"17",2023-09-01,3,"SSMH","SSMH-SB",12
"18",2023-09-01,3,"SSMH","SSMH-SB",13
"19",2023-09-01,1,"SSMH","SSMH-SB",14
"20",2023-09-01,0,"SSMH","SSMH-SB",15
"21",2023-09-01,-1.5,"SSMH","SSMH-SB",16
"22",2023-09-01,-2,"SSMH","SSMH-SB",17
"23",2023-09-01,6.5,"SSMH","SSMH-SD",7
"24",2023-09-01,4.5,"SSMH","SSMH-SD",8
"25",2023-09-01,4,"SSMH","SSMH-SD",9
"26",2023-09-01,4,"SSMH","SSMH-SD",10
"27",2023-09-01,2,"SSMH","SSMH-SD",11
"28",2023-09-01,3.5,"SSMH","SSMH-SD",12
"29",2023-09-01,3.5,"SSMH","SSMH-SD",13
"30",2023-09-01,3,"SSMH","SSMH-SD",14
"31",2023-09-01,-1,"SSMH","SSMH-SD",15
"32",2023-09-01,-2,"SSMH","SSMH-SD",16
"33",2023-09-01,-2,"SSMH","SSMH-SD",17
"34",2023-09-01,7,"SSMH","SSMH-SF02",7
"35",2023-09-01,3.5,"SSMH","SSMH-SF02",8
"36",2023-09-01,2,"SSMH","SSMH-SF02",9
"37",2023-09-01,1,"SSMH","SSMH-SF02",10
"38",2023-09-01,0.5,"SSMH","SSMH-SF02",11
"39",2023-09-01,-1,"SSMH","SSMH-SF02",12
"40",2023-09-01,-1.5,"SSMH","SSMH-SF02",13
"41",2023-09-01,-0.5,"SSMH","SSMH-SF02",14
"42",2023-09-01,-2.5,"SSMH","SSMH-SF02",15
"43",2023-09-01,-1.5,"SSMH","SSMH-SF02",16
"44",2023-09-01,-1.5,"SSMH","SSMH-SF02",17
"45",2023-09-01,7,"SSMH","SSMH-SG",7
"46",2023-09-01,4.5,"SSMH","SSMH-SG",8
"47",2023-09-01,2,"SSMH","SSMH-SG",9
"48",2023-09-01,1.5,"SSMH","SSMH-SG",10
"49",2023-09-01,1,"SSMH","SSMH-SG",11
"50",2023-09-01,0.5,"SSMH","SSMH-SG",12
"51",2023-09-01,0,"SSMH","SSMH-SG",13
"52",2023-09-01,0.5,"SSMH","SSMH-SG",14
"53",2023-09-01,0,"SSMH","SSMH-SG",15
"54",2023-09-01,-0.5,"SSMH","SSMH-SG",16
"55",2023-09-01,-1,"SSMH","SSMH-SG",17
"56",2023-09-01,4.5,"SSMH","SSMH-SF01",7
"57",2023-09-01,3,"SSMH","SSMH-SF01",8
"58",2023-09-01,1.5,"SSMH","SSMH-SF01",9
"59",2023-09-01,1,"SSMH","SSMH-SF01",10
"60",2023-09-01,-0.5,"SSMH","SSMH-SF01",11
"61",2023-09-01,0.5,"SSMH","SSMH-SF01",12
"62",2023-09-01,-0.5,"SSMH","SSMH-SF01",13
"63",2023-09-01,-3,"SSMH","SSMH-SF01",14
"64",2023-09-01,-0.5,"SSMH","SSMH-SF01",15
"65",2023-09-01,-1.5,"SSMH","SSMH-SF01",16
"66",2023-09-01,-1,"SSMH","SSMH-SF01",17
"67",2023-09-01,11.5,"SSMH","SSMH-SE01",7
"68",2023-09-01,3,"SSMH","SSMH-SE01",8
"69",2023-09-01,1.5,"SSMH","SSMH-SE01",9
"70",2023-09-01,0.5,"SSMH","SSMH-SE01",10
"71",2023-09-01,-1.5,"SSMH","SSMH-SE01",11
"72",2023-09-01,-0.5,"SSMH","SSMH-SE01",12
"73",2023-09-01,-0.5,"SSMH","SSMH-SE01",13
"74",2023-09-01,-1,"SSMH","SSMH-SE01",14
"75",2023-09-01,-1.5,"SSMH","SSMH-SE01",15
"76",2023-09-01,-2,"SSMH","SSMH-SE01",16
"77",2023-09-01,-2.5,"SSMH","SSMH-SE01",17
"78",2023-09-01,7,"SSMH","SSMH-SA",7
"79",2023-09-01,6.5,"SSMH","SSMH-SA",8
"80",2023-09-01,5,"SSMH","SSMH-SA",9
"81",2023-09-01,4,"SSMH","SSMH-SA",10
"82",2023-09-01,3.5,"SSMH","SSMH-SA",11
"83",2023-09-01,3,"SSMH","SSMH-SA",12
"84",2023-09-01,3,"SSMH","SSMH-SA",13
"85",2023-09-01,1.5,"SSMH","SSMH-SA",14
"86",2023-09-01,0,"SSMH","SSMH-SA",15
"87",2023-09-01,0,"SSMH","SSMH-SA",16
"88",2023-09-01,0,"SSMH","SSMH-SA",17
